Unnamed: 0,asin,description,emotion_spacy,most_significant_emotion_spacy
115,0985746408,song includ let know reason ave maria power god,"Counter({'positive': 1, 'anticipation': 1})",positive
118,0989830519,profession guid profound experi relax leav refresh renew truli tranquil,Counter({'positive': 2}),positive
126,1189182785,beatl live star club vol cd regular audio cd mini vinyl cardsleev exclus miniatur lp style paper sleev cd obi liner booklet nothin shakin leav tree saw stand know love everybodi tri babi till life lend comb feet big talk tast honey matchbox littl queeni roll beethoven road runner hippi hippi shake tast honey money,"Counter({'positive': 4, 'anticipation': 3})",positive
133,1415833044,track list fli away lead rock joy come morn everybodi happi leav understand better secret sweet sweet spirit blest tie bind saw light,"Counter({'positive': 4, 'anticipation': 3, 'trust': 1})",positive
134,141953744X,intens review along master test take tip key exam success audio review cd conveni way busi learner reinforc materi present kaplan financi studi materi maxim retent key concept listen profession voic relay testabl point question answer format prepar conveni schedul audio cd play standard cd player comput equip cd rom drive,"Counter({'positive': 3, 'anticipation': 2, 'trust': 1, 'negative': 1})",positive
136,1424338476,master piano accompani play piano accompani other sing enjoy relax fun howev time piano player know play singer sing melodi least year experi interest learn great techniqu accompani cours better piano accompanist new piano dvd cours reveal techniqu commonli use profession accompanist join enjoy experi piano accompani cours consist dvd minut handbook featur piano accompani techniqu commonli use profession includ chordal style break chord combin chordal note make accompani interest b rhythmic pattern alter rhythm accompani one introduc varieti music style blue ballad gospel etc song includ beauti dreamer america beauti jingl bell go tell mountain amaz grace home rang good morn etc author yoke wong founder harmoni melodi studio inc lead piano educ publish dvd onlin piano cours includ definit piano improvis home studi cours essenti great hymn arrang hand coordin run filler mani sold countri,"Counter({'positive': 11, 'anticipation': 9, 'trust': 3, 'sadness': 2, 'negative': 1, 'surprise': 1})",positive
140,1513606611,live life fire evangelist reinhard bonnk amaz life stori war torn germani child bush africa stori man god use holi spirit tell obedi god led preach messag salvat singl servic lago nigeria founder christ nation privileg lead million peopl salvat gospel crusad sinc year book simpl fact preacher life fill adventur heart africa real life dramat stori peopl place leav edg seat power demonstr holi spirit work reinhard bonnk life model gener preacher come life stori inspir christian everywher believ god maximum,"Counter({'positive': 5, 'trust': 5, 'anticipation': 4, 'fear': 2, 'negative': 1})",positive
144,1561025089,enjoy total refresh nap minut verbal guidanc hemi sync provid uniqu opportun obtain deepli restor rest benefit catnapp proven effect work studi break energ even catnapp also effect counter effect jet lag cope irregular schedul ultim pick anytim verbal min mind food seri monro product binaur beat cd help experi enhanc mental physic emot state robert monro work inspir entir industri mind brain product year research thousand lab session intern acclaim patent hemi sync process remain unparallel abil assist us har human potenti thank cooper notabl medic institut univers scientif clinic proven hemi sync technolog continu focu varieti special research project addit mani therapist physician educ profession use hemi sync extens research indispens reveal influenc specif hemi sync sound pattern conscious year effort result develop score individu product specif applic focus attent stress manag medit sleep enhanc pain manag name,"Counter({'positive': 9, 'trust': 6, 'negative': 3, 'anticipation': 3, 'surprise': 1, 'fear': 1, 'sadness': 1})",positive
160,1570198578,frank lovejoy hardboil newsman randi stone roam dark street citi find special stori next day chicago star night beat column lovejoy portray report heart well nose news focu human interest angl stori crime ad show overal excel guest cast includ top line radio actor joan bank jeff corey ted decorsia paul free barbara fuller lou krugman jack kruschen peter leed shirley mitchel gerald mohr jeannett nolan luren tuttl martha wentworth mani four cd digit remast audio collect includ classic episod program guid william nadel episod includ know street girl kansa old home week hunt becom hunter case butter kenni day amnesia case man red hair ellen bomb plane,"Counter({'positive': 5, 'sadness': 4, 'anticipation': 4, 'trust': 3, 'negative': 3, 'disgust': 1})",positive
163,1570972494,collect excerpt discours way devot spritual master,Counter({'positive': 1}),positive
175,1578213746,psalm israel hymnal poetri lace strong theolog hebrew book call tehillim prais psalm address chief musician greek psalmoi poem sung string instrument psaltar harp string instrument histori instruct law teach propheci announc rebuk chasten moral persuad psalm medicin succor comfort encourag us written individu us individu jesu said psalm spoke lk christ birth betray agoni death resurrect ascens come glori worldwid reign pictur inspir vivid constitut irrefut testimoni divin inspir scriptur studi contain hour vers vers teach,"Counter({'positive': 5, 'trust': 5, 'anticipation': 3, 'sadness': 2, 'negative': 1})",positive
191,1581344325,includ amaz grace morn gild sky guid thou great jehovah leadeth bless thought love thee christ jesu love thee way savior lead holi holi holi firm foundat lead king etern love divin love excel cometh cometh,"Counter({'positive': 9, 'anticipation': 3})",positive
219,1591963990,page softcov journal full songwrit hint tip quot plenti room write great hook song idea written book import inspir write love hook book take wherev go cindi alter independ singer songwrit jon batson song clever articul concis harriet schock platinum sell songwrit great songwrit jon batson fit lyric heartfelt touch human soul gilli moon intern record artist,"Counter({'positive': 3, 'trust': 1})",positive
223,1594648824,two cd set reader digest music featur sunday morn favorit pat boon jordanair lee greenwood judi collin includ thirti treasur hymn song faith includ old rug cross thou vision amaz grace mani,"Counter({'positive': 3, 'anticipation': 3, 'sadness': 2})",positive
241,1607439654,excit dvd cours hour long jam pack actual demonstr advic trick trade took year unearth method go find anywher els walk bass style interval left hand style electrifi latin rhythm jazz stride piano style master secret jazz harmon scale mode liter show turn simpl melodi jesu joy man desir swane river love tender aura lee mani mani hand clappin foot stompin jazz tune short month play like professor jazz author yoke wong founder harmoni melodi studio inc lead piano educ publish dvd onlin piano cours includ definit piano improvis home studi cours essenti great hymn arrang hand coordin run filler mani sold countri,"Counter({'positive': 8, 'trust': 6, 'anticipation': 2, 'surprise': 1})",positive
244,1608613453,acclaim pianist perform fourteen dazzl favorit academi award win film includ theme aton theme beauti beast brioni atonmemnt cottag beach aton dawn pride prejudic theme e georgiana pride prejudic theme ftom king speech liz top world pride prejudic neverland find neverland theme schindler list secret life daydream pride prejudic theme titan wish upon star pinocchio,"Counter({'positive': 6, 'anticipation': 4, 'negative': 1, 'joy': 1, 'trust': 1})",positive
258,1785490893,muggl love wizard world harri potter offici calendar one harri potter best featur divers rang charact film seri includ harri potter ron weasley hermion granger lord voldemort offici harri potter calendar plenti room daili note appoint size h x wmm format squar month wall calendar,"Counter({'positive': 1, 'anticipation': 1, 'trust': 1})",positive
275,1882513274,king mida golden touch arachn perseu medusa adventur hercul,Counter({'positive': 1}),positive
286,1886614733,vivaldi four season opu winter rimski korsakov snow maiden danc tumbler debussi children corner snow danc prokofiev winter bonfir departur snow outsid window waltz ice tchaikovski nutcrack opu waltz snowflak mozart three german danc k sleigh ride chopin etud minor opu winter wind handel messiah pastor symphoni waldteufel skater waltz prokofiev lieuten kije opu troika glazunov season opu winter variat coda tchaikovski symphoni g minor opu winter daydream,"Counter({'positive': 1, 'trust': 1})",positive
305,1930429665,love logic press set audio cd,Counter({'positive': 1}),positive
306,1931032327,exquisit immers tibetan buddhism honor white tara swift protectress goddess bodhisattva compass tibetan buddhist understand deiti tara resid within complex sound mantra thu listen sound mantra medit enter lumin realm conscious receiv benevol influenc bodhisattva help eman spiritu light benefit sentient be earth brought forward realm pure light tom kenyon amaz almost four octav voic record live sound heal train,"Counter({'positive': 4, 'trust': 3, 'anticipation': 1})",positive
307,1931032475,tom kenyon cd book stock discount price phoenix book columbu oh,Counter({'positive': 1}),positive
312,193287500X,two cd help develop abil experi sens peac clariti chaotic world one cd pack minut inform medit cd provid six differ guid medit practic accompani special design music sooth soul probabl effect complet guid help success learn medit relax releas stress find peac truli deserv ian voic sooth smooth relax complet medit easili pack full good use inform jgw sooth british voic sound like father read fairi tale feel relax open david hansen cottag live magazin ref yoga listen ian feel relax centered begin feel way fww,"Counter({'positive': 4, 'anticipation': 3, 'trust': 3, 'negative': 2, 'sadness': 1})",positive
314,1933328193,rest life meaning goal mind kind reach enrich life make happier give greater sens fulfil truth pursu goal know exactli figur job self fulfil expert carol price give proven three week plan build stronger sens believ want intend get put program practic time readi make care well consid choic lead life want,"Counter({'positive': 6, 'trust': 6, 'anticipation': 2})",positive
325,1937509400,world husband think realli make tick talk dr allen hunt share five thing women need know men simpl help inspir wisdom enrich marriag relationship,"Counter({'positive': 2, 'anticipation': 1, 'trust': 1})",positive
328,1937509109,help love becom best version help becom best version program full practic humor insight help take relationship next level,"Counter({'positive': 2, 'trust': 1})",positive
331,1938983726,heard stori crusad know one mediev europ greedi king intoler pope launch bloodi war conquest peac enlighten muslim cours today media movi academ elit alway look way bash church never tire tell even mani cathol would prefer sweep rug assum dark embarrass period histori there one problem stori total fals real stori crusad historian steve weidenkopf replac prevail anti cathol narr factual account christendom struggl liber defend holi land process cut common lie myth exagger crusad unprovok attack peac superior cultur true motiv behind crusad pieti avaric crusad soldier cruel anti semit racist muslim terror result even justifi long memori crusad centuri ago listen live eye open present learn answer myth youll also equip help remedi great histor injustic tell world real stori brave soldier long ago gave live cross,"Counter({'positive': 8, 'anticipation': 7, 'trust': 5, 'sadness': 5, 'negative': 3, 'fear': 2})",positive
342,3421726728,chilli come l cd special gatefold mini lp sleev edit exclus miniatur lp sytl paper sleev cd obi liner booklet sunshin love heartattack cadillac sacrific come l get move layla springtim friday mind fun tonigh,"Counter({'positive': 2, 'anticipation': 1})",positive
374,4901000616,cd reason peopl overeat meyer joyc,Counter({'positive': 1}),positive
528,6302014727,cb radio broadcast april,Counter({'positive': 1}),positive
543,7474000172,cd homecom joy world gaither friend,"Counter({'positive': 1, 'trust': 1})",positive
560,7799311991,love go occasion dear spoil mile slow heat half sugar mapl breakfast experi love dash,"Counter({'positive': 5, 'negative': 1})",positive
567,7799215356,disc mountain hua xu cite liquormania great hu jia chu ge even cite european heron forget plum blossom p um cursedisc wei compil ruin sea dragon yueyang three drunk liezi yufeng deer cut tan come away speech gees yin contempl aki bellsdisc saoshou ask day fisherman stone waterfal yi enemi water daoyidisc wu yeti gees daoyi mountain flow water perrin fisherman woodcutt zuiyuchangwan water,"Counter({'positive': 5, 'anticipation': 3, 'negative': 2, 'fear': 2})",positive
569,7799420340,cd want back abc love save got rockin robin ben blame boogi shake bodi ground dont stop til get enough wall rock life feel girl mine billi jean beat wan na startin somethin human natur p pretti young thing stop love thrillercd bad way make feel man mirror dirti diana anoth part smooth crimin leav alon black white rememb time closet heal world alon earth song dont care us rock world,"Counter({'positive': 4, 'trust': 3, 'anticipation': 3, 'sadness': 2, 'negative': 1})",positive
570,7799433337,cd billi jean bad say say say featur paul mccartney thriller ghost heal world jam scream stop love black white care us come togeth world demo cd beat danger dirti diana alon rememb time way make feel man mirror earth song life girl mine rock world wan na startin somethin billi jean thriller megamix radio edit,"Counter({'positive': 4, 'sadness': 3, 'anticipation': 2, 'fear': 1, 'trust': 1, 'surprise': 1})",positive
579,7799621583,cd hit feel take heart michael learn rock actor sleep child minut someday noth lose blue night break heart ghost complic heart someth know blue angel eye go awaybonu track upon christma night take heart michael learn rock take heart danc remix bonu vcd footag sh promo tour take heart ok michael learn rock leav world mani hour strang foreign beauti paint love gon na around took heart away blue night take heart,"Counter({'positive': 7, 'anticipation': 3, 'sadness': 3, 'negative': 2, 'fear': 2, 'surprise': 1})",positive
588,7880942076,cd song sequenc breez past farewel cambridg countri road grandma penghu bay kapok road snow love like song accid prayer love heart ocean homeless monologu,"Counter({'positive': 2, 'sadness': 1})",positive
609,7884262614,disc disc disc moon portray heart care explain compens back apothegm love endless love lover solicitud rambl life forget pick wild flower girl mount ali rain tear worri smoke rise hous disc tender goodbi love sweet stori small town lover mind may live long side river boat song ocean apart thousand word even primros hard tell weather unforgett first love,"Counter({'positive': 5, 'trust': 4, 'anticipation': 4, 'negative': 3, 'surprise': 1})",positive
617,7883167723,love somebodi word first may lone day mend broken heart deep love woman love throw away emot much heaven heartbreak island stream juliet secret love bell toll closer close could love wed day,"Counter({'positive': 5, 'trust': 2, 'sadness': 2})",positive
625,7885252701,disc sky pervers will ormosia piec stuffi restrain smile forget see also smoke love stranger moon time wish peopl long time woman apt injur disc love edg ach day helpless ambigu agreement well secretli girl south china sea cold war ji houfeng redempt wind impetu meet firefli give love letter,"Counter({'positive': 6, 'anticipation': 4, 'negative': 3, 'fear': 3, 'trust': 2})",positive
663,8579711215,foi com est disco que brasil descobriu soul se uma dcada ant rock tinha invadido nossa cena music atrav de programa como clube rock da tv tupi e jovem guarda foi graa ao primeiro trabalho de tim maia que discotecrio os av do dj de todo pa passaram prestar ateno ao universo de jame brown que pblico pedia onz ano ant de lanar lbum ao de idad tim havia partido rumo ao estado unido ond ficou por ano ser deportado em de volta ao rio praticament passou fome e quas abandon msica foi guia turstico mal sucedido ma uma coisa ele nunca esqueceu fort impresso que msica americana exerceu sobr ele msica era mesmo seu caminho quando roberto carlo resolveu gravar sua msica vou ficar em nome tim maia comeava ganhar pa ness primeiro flert da jovem guarda com soul,"Counter({'positive': 2, 'sadness': 2, 'trust': 1})",positive
668,8690765166,aksion estin kiri eleison dostojno jest asomen odin teo djeva dne gospodi vozvah da ispravitsja kratima terirem agni parten v cermnjem mori pridit poklonimsja v tajnj dobrodjetelji dne blagodat ne ktomu plamenoj oruzij pravoslavija svjetilnic rozdestvo tvoje slava vo visnjih bogu plotiju usnuv hristo voskres voskresenij hristovo vidjevs carju nebesni blagosloven jesi hrist boe na heruvimska pesma angelskij sobor glasom mojim ko gospodu vozvah svjatimi vzbranoj vojevodj nami bog,"Counter({'positive': 2, 'negative': 1})",positive
671,8883312422,profession standard produc high impact web experi use half million web author worldwid creat web without sacrif vision design deliv distinct low bandwidth web site macromedia flash design easili creat engag graphic familiar macromedia user interfac developm build advanc web applic use script form server side connect,"Counter({'positive': 3, 'trust': 2, 'anticipation': 1})",positive
677,9112321435,cd vozdushnyj potseluj mne vchera prisnilo nebo nostal giya spasibo muzyka tebe mamini glaza posvyacsheni zhencshin gruziya den bez tebya listopad ukhodya ukhodi rasskazhit ang karmen dozhd gitara kavkazskaya plennitsa malen koe serdts pomoli zvezdi sil nej lyubit vivat korol cd dve volni tamara gverdtsit dmitrij dyuzhev noktyurn tamara gverdtsit dmitrij dyuzhev ekho lyubvi tamara gverdtsit dmitrij dyuzhev dorogi moi stariki tamara gverdtsit dmitrij dyuzhev druzhba tamara gverdtsit dmitrij dyuzhev kak molodi byli tamara gverdtsit dmitrij dyuzhev istoriya lyubvi tamara gverdtsit dmitrij dyuzhev csherburgski zontiki tamara gverdtsit dmitrij dyuzhev ty menya na rassvet razbudish tamara gverdtsit dmitrij dyuzhev lodochka bab ya dolya ukradenno serdts pesnya margar u poslednej cherti lestnitsa chio chio san ne revnuj docheri ale zhuan nebesnaya poslannitsa,Counter({'positive': 1}),positive
690,9603973572,brand new album avail th octomb peggi zina one popular femal voic time return discographi new album titl sou hrostao ena klama fifteen song satisfi even demand listen cover entir spectrum music style alreadi five done great radio hit sou hrostao ena klama ego tha tragoudiso iha pi tha fygo ta ho mena mine edo mazi mou new album collabor georg moukidi kyriako papadopoulo ilia filipp stelio rokko christo danti georg sampani helen giannatsoulia vicki gerothodor dimo anastasiadi niko sarri aki diximo contain duet antoni vardi worth note cover peggi chosen among mani competit launch iek xini winner free scholarship one year titl na mi mou grafi agapo ta ho mena mine edo mazi mou tipota den emin ti theli kani panta kardia paradinom tha thymithi ego sto leo dilitirio den eho anagki oniroparmeno mou kormi bonu track sou hrostao akoma ena klama ego tha tragoudiso iha pi tha fygo pari ti monaxia dikazo antoni vardi peggi zina,"Counter({'positive': 6, 'anticipation': 4, 'negative': 3, 'trust': 2, 'sadness': 1})",positive
697,960539183X,pote pio konta kano oti the kath proi proti mou fora glyko koritsi giati agapi einai edo dyskolo na se agapo agapi mou love feat desislava danc dam dam,"Counter({'positive': 1, 'anticipation': 1})",positive
703,9605392879,live record show stole heart avail doubl cd two exquisit voic join amaz talent passion imagin feel perform song greek music scene world pentagram alkisti mario offer us christma great song duet uniqu music gift spirit cooper perform given palla music coexist entitl date palla show love world record releas heaven doubl cd voic creat color trigger feel imag uniqu music artist convers captur wonder cd version song adventur variou music era romanc latin rhythm rock moment music atmospher imag wrap lightli music journey tracklist cd zist viver kala pernao buo giorno principessa beauti way querer patoma caruso doulia aposkev show must go trava skandali alon min rota ton ourano zita mou oti the cabaret soundtrack cabaret adoni money money soundtrack cd tou ai giorgi ederlezi ameno aggelo moy memori canzon strose stroma sou gia dyo dikeoma kokkino anthropon erga mambo brazileiro bamboleo vanzinadiko luna rossa post love hirokrotima canzon arrabiata sotiria ti psyhi,"Counter({'positive': 9, 'sadness': 7, 'anticipation': 6, 'trust': 4})",positive
712,9608488346,titl cd tou dervisi pioto irtha gia mia nyhta tora teleftea telefteo pyreto ena ki ena fila dyo hiliarika stin tsepi koritsi apops theli ta opla sou ta mystika gyalino kosmo gyrna den kovo ego ti trell mou den kimam ki afti adiafori larisa saloniki san antra feygo ena dyo ti leo dromi tou pouthena sto keli cd den xeri grammata kardia mera nyhta sto timoni vouno vouno den smigi me ti poli hamam giati vasanizi terma sti logiki kapia mana anastenazi gyrna piso den boro na afiso litania tou magka den prepi mi mou mila hili pou kain ida kai patha kyra mou po aresi gyneka logikeps asoto kehribarenia matia ego ime entaxi pio sou tax polla lefta efyga apo spiti stou paradis tin porta,"Counter({'positive': 1, 'sadness': 1})",positive
718,9657518032,follow success dusk julia rovinski second solo harp album featur version piec harold budd philip glass munir bashir arvo prt steve reich none piec origin written harp album produc lior suliman tal weiss engin yoram vazan master legendari greg calbi grand talent jewel lotu du invoc close cover steve reich piano phase fifteen minut tour de forc avant music newspur pleasur play piec beauti sound exact express tender make album uniqu haaretz,"Counter({'positive': 2, 'trust': 2, 'anticipation': 1, 'sadness': 1})",positive
746,B0000017PF,compos four orchestr suit would enough guarante compos fame endur place music histori cours bach turn masterpiec live jordi saval fellow musician deliv perform worthi old master taut technic impecc full life good spirit sound superb david vernier,"Counter({'positive': 5, 'sadness': 1, 'trust': 1, 'anticipation': 1})",positive
762,B000001O2M,head phantasm dead hors grin duralux realli like huntington j one wake christin juli two girl guy left make wan na aleixa special joe christma warp twist plagu ethyl dura lux duralux motorcycl daddi stratochief chew hate situat taboo convoy fluffi got beat huntington saturday night left love rock n roll joe christma j friend seven foot polit eye without face phantasm mean one mr grinch sixpenc none richer give littl laughter ho,"Counter({'positive': 3, 'anticipation': 2, 'sadness': 2, 'fear': 1, 'trust': 1})",positive
764,B000001O2N,duralux rock music w sing,"Counter({'positive': 1, 'sadness': 1, 'anticipation': 1})",positive
776,B000002067,singer songwrit lorin rowan new cd first solo album featur power origin brand countri rock assuredli audiophil record deliv kind exemplari sonic expect pedigre fi magazin,"Counter({'positive': 1, 'trust': 1, 'anticipation': 1})",positive
800,B000002TTH,queensrych promis land cd queensrych follow doubl platinum empir someth acquir tast well worth effort consider varieti heavi progress rock ballad bridg hit singl also funk inflect disconnect edgi spooki ladi jane piano vocal someon els titl track probabl strongest least access song album instead rock slow heavi song vein anybodi listen empir listen least five time form opinion time hear someth geneviev william,"Counter({'positive': 6, 'anticipation': 4, 'sadness': 2, 'negative': 1})",positive
802,B000002WMY,rca victor jazz seri first half centuri cd featur,Counter({'positive': 1}),positive
815,B0000035EA,best grifter wonder rock band full blown possess definit best stun open reentri blue set tale vega self destruct one last chanc told suitabl bore voic guitar shock mute roll rhythm sort music pavement might make trade lo fi pretens say ambit memphi funk centuri stone like indi rock blood thirsti lover beat crawl surf tune cigarett full blown showcas band real sens rock histori talent make david cantwel,"Counter({'positive': 8, 'sadness': 3, 'negative': 3, 'trust': 3, 'anticipation': 2, 'surprise': 1})",positive
899,B000005TJK,garden friend jesu amaz grace ode joy old rug cross let peac earth softli tenderli great thou art closer walk thee jesu joy man desir savior like shepherd lead us prais prais jesu love,"Counter({'positive': 6, 'trust': 2, 'sadness': 1, 'anticipation': 1})",positive
945,B000006THN,year hacienda night tripl cd set includ classic track defin club cultur ltd ed,"Counter({'positive': 1, 'anticipation': 1, 'negative': 1})",positive
991,B000006YRQ,japanes version includ extra track crash burn,"Counter({'positive': 1, 'anticipation': 1, 'fear': 1})",positive
1015,B00000700Q,song remain insan doubl live album origin releas birdcag record sister label twa record australia cull best perform circa tsri featur dz best materi first three cd ir year record pari tokyo sydney copenhagen la vega disc song remain insan black dog whole lotta love heartbreak claw song remain time gon na come ed door stairway heaven disc live strawberri cheesecak session see see rider immigr song black dog heartbreak claw big ol gold belt viva la vega woodstock lookin troubl rock n roll medley plant chat quiet moment tortelvi,"Counter({'positive': 6, 'negative': 3, 'sadness': 2, 'trust': 1, 'anticipation': 1, 'fear': 1})",positive
1048,B0000071O3,loop wolf flow john peel session uk cd album,"Counter({'positive': 1, 'negative': 1})",positive
1058,B000007247,menswear love uk cd singl,Counter({'positive': 1}),positive
1067,B0000072DE,warner pioneer japan edit p track,"Counter({'positive': 1, 'anticipation': 1})",positive
1087,B0000073GX,diski made franc track yesterday eleanor rigbi sergeant pepper lone heart clubband leav home need love walru blackbird long wind road beatlephon medley mull kintyr love fool hill,"Counter({'positive': 3, 'anticipation': 2, 'sadness': 1, 'negative': 1})",positive
1112,B0000074HP,track list highway hell give love bad name rebel yell love rock roll medley love rock roll b great ball fire c whole lotta shakin goin shake rattl roll e rock roll stay f hop g hound dog h cruel let teddi bear eve destruct,"Counter({'positive': 7, 'sadness': 3, 'fear': 3, 'anticipation': 1, 'negative': 1})",positive
1121,B0000074Y9,black box rockin music master mix peopl one night heaven master mix zoran hook technika europa mix remix messi boy c sar real mccoy anoth night club mix remix berman brother freshlin nice devic get moon album version mix dan spacer mozart rage make feel pire sound mix remix vincent degiorgio amadin feat swing take alrabaiy extend version concept feat keith murrel feel club mix remix tom tom swayi mix remix abm minnesota danc mix remix abm,"Counter({'positive': 3, 'sadness': 2, 'negative': 2, 'trust': 2, 'anticipation': 2})",positive
1158,B000007U0G,import cd slim line cd case mute bong label bong never let pleasur littl treasur never let split mix pleasur littl treasur glitter mix never let aggro mix never let tsangarid mix pleasur littl treasur join mix hold spanish taster,"Counter({'positive': 2, 'sadness': 1, 'trust': 1, 'negative': 1, 'disgust': 1})",positive
1234,B000007YKI,catch wind love song someon heart sleev turn turn turn adio amor saltwat northern light put littl love heart morn broken mona lisa mad hatter got friend end world,"Counter({'positive': 2, 'surprise': 1, 'sadness': 1, 'fear': 1, 'trust': 1})",positive
1265,B0000081T3,ricki ross radio uk cd singl,Counter({'positive': 1}),positive
1275,B0000082YZ,two full moon trout caspar pound mix two full moon trout origin mix two full moon trout union jack mix two full moon trout flf mix,"Counter({'positive': 4, 'negative': 1})",positive
1279,B000008384,collect cover version song made famou buddi holli connoisseur collect ltd track earli morn got love matter anymor listen day love made fool mayb babi brown eye handsom man heartbeat well right rave everyday oh boy reminisc fade away gon na love rain heart stay close peggi sue rock babi think true love way blue day black night cri wait hope learn game medley tell,"Counter({'positive': 7, 'negative': 4, 'trust': 3, 'anticipation': 3, 'sadness': 3})",positive
1309,B0000085PR,dog eat dog front remix cd,Counter({'positive': 1}),positive
1332,B0000087P2,ultra rare cd olivia releas japan print releas olivia newton john greatest limit edit japan cd tocp st press cat tocp toshiba emi ltd made japan lyric includ includ never mellow easi follow pleas mr pleas music make day goodby behind lock door station regret long live love could read mind everyth chanc angel morn let love let know take home countri road life love song bank ohio,"Counter({'positive': 3, 'sadness': 2, 'anticipation': 2, 'negative': 1, 'trust': 1})",positive
1340,B0000088J6,track rose still rose album version without intro rose still rose love infin rhythm radio mix rose still rose desert eagl disc remix rose still rose london connect radio edit rose still rose hex hector club mix,"Counter({'positive': 4, 'anticipation': 1, 'sadness': 1})",positive
1396,B000008SCF,detail item info album featur upc artist falstaff format cd releas year record label homestead genr rock pop track list miasma home candlelight lamppost quiet charact babi lie candlelight detail play time min produc falstaff distributor n record type studio record mode stereo spar code n album note falstaff vagu odd band ii vagu odd record take basi frantic screami rock style product inclin toward bombast power leav pretti interest mix behind rather tradit pop piec like piano base home record trade rock pace pop stride deconstruct odditi result intens fascin nitsuh abeb portion page copyright muze inc right reserv,"Counter({'positive': 5, 'anticipation': 4, 'trust': 3, 'surprise': 2, 'negative': 1, 'sadness': 1})",positive
